[EVENT] Type: Rock | Timestamp: Line-0 | Confidence: 0.7 | Bounds: [599.8, 653.4] @ [2313.3, 2340.8]
[EVENT] Type: Rock | Timestamp: Line-0 | Confidence: 0.7 | Bounds: [940.2, 998.9] @ [2366.6, 2384.6]
[EVENT] Type: Freespan | Timestamp: Line-0 | Confidence: 0.8415969916035146 | Bounds: [-226.1, 318.8] @ [2245.8, 2314.1]
[EVENT] Type: Rock | Timestamp: Line-24 | Confidence: 0.7 | Bounds: [437.5, 449.8] @ [2321.7, 2328.0]
[EVENT] Type: Rock | Timestamp: Line-24 | Confidence: 0.7 | Bounds: [476.5, 556.4] @ [2257.8, 2290.7]
[EVENT] Type: Rock | Timestamp: Line-24 | Confidence: 0.7 | Bounds: [684.7, 736.6] @ [2336.5, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-24 | Confidence: 0.7 | Bounds: [751.8, 757.3] @ [2351.6, 2353.8]
[EVENT] Type: Rock | Timestamp: Line-24 | Confidence: 0.7 | Bounds: [1022.4, 1049.5] @ [2380.7, 2385.7]
[EVENT] Type: Rock | Timestamp: Line-24 | Confidence: 0.7 | Bounds: [1060.4, 1078.2] @ [2384.6, 2388.2]
[EVENT] Type: Freespan | Timestamp: Line-24 | Confidence: 0.8538974251400191 | Bounds: [-222.3, 319.9] @ [2245.0, 2315.8]
[EVENT] Type: Rock | Timestamp: Line-28 | Confidence: 0.7 | Bounds: [431.9, 560.4] @ [2274.9, 2315.1]
[EVENT] Type: Rock | Timestamp: Line-28 | Confidence: 0.7 | Bounds: [655.4, 711.8] @ [2340.6, 2351.9]
[EVENT] Type: Rock | Timestamp: Line-28 | Confidence: 0.7 | Bounds: [745.8, 755.2] @ [2351.3, 2353.8]
[EVENT] Type: Rock | Timestamp: Line-28 | Confidence: 0.7 | Bounds: [1008.3, 1018.2] @ [2375.7, 2378.5]
[EVENT] Type: Rock | Timestamp: Line-28 | Confidence: 0.7 | Bounds: [1052.6, 1067.6] @ [2384.8, 2389.0]
[EVENT] Type: Freespan | Timestamp: Line-28 | Confidence: 0.8042938782878082 | Bounds: [-224.1, 321.8] @ [2250.6, 2311.5]
[EVENT] Type: Rock | Timestamp: Line-32 | Confidence: 0.7 | Bounds: [-988.4, -973.4] @ [2262.3, 2265.3]
[EVENT] Type: Rock | Timestamp: Line-32 | Confidence: 0.7 | Bounds: [444.1, 479.3] @ [2313.3, 2323.8]
[EVENT] Type: Rock | Timestamp: Line-32 | Confidence: 0.7 | Bounds: [402.9, 553.5] @ [1733.7, 2344.9]
[EVENT] Type: Rock | Timestamp: Line-32 | Confidence: 0.7 | Bounds: [662.5, 700.7] @ [2347.0, 2355.7]
[EVENT] Type: Rock | Timestamp: Line-32 | Confidence: 0.7 | Bounds: [983.0, 989.4] @ [2367.2, 2369.6]
[EVENT] Type: Rock | Timestamp: Line-32 | Confidence: 0.7 | Bounds: [1020.1, 1028.0] @ [2376.2, 2378.5]
[EVENT] Type: Rock | Timestamp: Line-32 | Confidence: 0.7 | Bounds: [1060.5, 1078.5] @ [2385.4, 2389.0]
[EVENT] Type: Freespan | Timestamp: Line-32 | Confidence: 0.7975599364739014 | Bounds: [-225.8, 322.7] @ [2255.7, 2315.2]
[EVENT] Type: Rock | Timestamp: Line-40 | Confidence: 0.7 | Bounds: [527.2, 534.3] @ [2334.4, 2342.7]
[EVENT] Type: Rock | Timestamp: Line-40 | Confidence: 0.7 | Bounds: [630.1, 670.1] @ [2353.8, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-40 | Confidence: 0.7 | Bounds: [668.5, 748.5] @ [2203.2, 2332.3]
[EVENT] Type: Rock | Timestamp: Line-40 | Confidence: 0.7 | Bounds: [1043.9, 1050.5] @ [2384.8, 2385.1]
[EVENT] Type: Rock | Timestamp: Line-40 | Confidence: 0.7 | Bounds: [1103.6, 1117.0] @ [2384.6, 2388.8]
[EVENT] Type: Freespan | Timestamp: Line-40 | Confidence: 0.8689441317689466 | Bounds: [-224.7, 313.8] @ [2244.3, 2318.0]
[EVENT] Type: Rock | Timestamp: Line-55 | Confidence: 0.7 | Bounds: [650.4, 701.8] @ [2336.3, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-55 | Confidence: 0.7 | Bounds: [416.6, 757.7] @ [1344.5, 2358.4]
[EVENT] Type: Rock | Timestamp: Line-55 | Confidence: 0.7 | Bounds: [876.2, 882.7] @ [2371.6, 2371.8]
[EVENT] Type: Freespan | Timestamp: Line-55 | Confidence: 0.8330163160833035 | Bounds: [-233.6, 310.7] @ [2256.1, 2322.7]
[EVENT] Type: Rock | Timestamp: Line-59 | Confidence: 0.7 | Bounds: [584.8, 591.7] @ [2349.5, 2351.3]
[EVENT] Type: Rock | Timestamp: Line-59 | Confidence: 0.7 | Bounds: [651.4, 736.8] @ [2339.2, 2356.0]
[EVENT] Type: Rock | Timestamp: Line-59 | Confidence: 0.7 | Bounds: [779.6, 828.4] @ [2351.6, 2362.8]
[EVENT] Type: Rock | Timestamp: Line-59 | Confidence: 0.7 | Bounds: [907.2, 924.3] @ [2366.9, 2375.7]
[EVENT] Type: Freespan | Timestamp: Line-59 | Confidence: 0.8481900112834615 | Bounds: [-235.2, 307.0] @ [2254.4, 2324.1]
[EVENT] Type: Rock | Timestamp: Line-67 | Confidence: 0.7 | Bounds: [682.8, 712.3] @ [2351.6, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-67 | Confidence: 0.7 | Bounds: [729.1, 735.0] @ [2356.5, 2360.0]
[EVENT] Type: Rock | Timestamp: Line-67 | Confidence: 0.7 | Bounds: [837.8, 846.2] @ [2362.2, 2366.9]
[EVENT] Type: Freespan | Timestamp: Line-67 | Confidence: 0.8149538285571156 | Bounds: [-241.9, 304.6] @ [2262.7, 2325.7]
[EVENT] Type: Anode | Timestamp: Line-75 | Confidence: 0.8 | Bounds: [276.9, 282.1] @ [1881.8, 1893.7]
[EVENT] Type: Rock | Timestamp: Line-75 | Confidence: 0.7 | Bounds: [701.6, 780.0] @ [2332.3, 2360.3]
[EVENT] Type: Rock | Timestamp: Line-75 | Confidence: 0.7 | Bounds: [852.2, 880.3] @ [2366.6, 2371.6]
[EVENT] Type: Rock | Timestamp: Line-75 | Confidence: 0.7 | Bounds: [980.4, 1036.7] @ [2378.7, 2393.5]
[EVENT] Type: Freespan | Timestamp: Line-75 | Confidence: 0.8441165013033174 | Bounds: [-243.6, 295.9] @ [2257.2, 2326.0]
[EVENT] Type: Rock | Timestamp: Line-79 | Confidence: 0.7 | Bounds: [719.5, 751.5] @ [2357.9, 2371.3]
[EVENT] Type: Rock | Timestamp: Line-79 | Confidence: 0.7 | Bounds: [979.0, 1011.8] @ [2384.0, 2389.0]
[EVENT] Type: Rock | Timestamp: Line-79 | Confidence: 0.7 | Bounds: [1076.4, 1093.9] @ [2388.2, 2389.0]
[EVENT] Type: Freespan | Timestamp: Line-79 | Confidence: 0.8511335148800685 | Bounds: [-246.0, 292.8] @ [2256.1, 2326.4]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [754.3, 770.4] @ [2366.9, 2377.6]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [784.3, 794.0] @ [2364.7, 2366.9]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [905.3, 944.9] @ [2349.5, 2388.8]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [1051.8, 1085.8] @ [2393.5, 2405.1]
[EVENT] Type: Freespan | Timestamp: Line-87 | Confidence: 0.8022621045029177 | Bounds: [-251.8, 292.8] @ [2265.0, 2325.5]
[EVENT] Type: Anode | Timestamp: Line-91 | Confidence: 0.8 | Bounds: [266.7, 272.8] @ [1882.9, 1895.8]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [508.8, 553.5] @ [2338.7, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [599.7, 658.1] @ [2357.6, 2373.5]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [911.0, 985.6] @ [2316.1, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [1028.2, 1080.5] @ [2379.8, 2398.3]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [1110.4, 1116.1] @ [2380.4, 2398.0]
[EVENT] Type: Freespan | Timestamp: Line-91 | Confidence: 0.820907450973175 | Bounds: [-253.8, 287.2] @ [2261.9, 2326.1]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [474.2, 549.1] @ [2330.2, 2344.6]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [629.2, 688.0] @ [2366.9, 2386.5]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [778.2, 839.7] @ [2247.8, 2338.7]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [845.2, 850.3] @ [2246.1, 2246.1]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [883.8, 953.9] @ [2238.0, 2269.6]
[EVENT] Type: Freespan | Timestamp: Line-99 | Confidence: 0.8298588696596448 | Bounds: [-261.0, 280.0] @ [2261.0, 2327.0]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [344.6, 369.8] @ [2336.5, 2342.4]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [460.4, 582.5] @ [2242.6, 2349.2]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [629.9, 640.3] @ [2376.0, 2379.8]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [740.7, 808.4] @ [2234.3, 2380.1]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [872.0, 1085.6] @ [2238.2, 2397.4]
[EVENT] Type: Freespan | Timestamp: Line-107 | Confidence: 0.7776884373723874 | Bounds: [-267.7, 276.3] @ [2267.5, 2323.0]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [368.3, 381.2] @ [2349.5, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [408.9, 458.9] @ [2341.1, 2366.3]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [471.9, 613.1] @ [2254.3, 2380.1]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [685.5, 692.0] @ [2389.0, 2389.3]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [729.5, 805.7] @ [2248.1, 2388.8]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [863.1, 1090.7] @ [2226.0, 2415.9]
[EVENT] Type: Freespan | Timestamp: Line-111 | Confidence: 0.8336752798507655 | Bounds: [-269.2, 271.0] @ [2262.5, 2329.2]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [415.9, 423.1] @ [2339.0, 2342.7]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [435.7, 490.7] @ [2286.1, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [378.5, 577.3] @ [1764.4, 2353.2]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [711.2, 783.1] @ [2284.3, 2362.2]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [843.0, 873.0] @ [2273.6, 2278.4]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [879.4, 889.8] @ [2278.4, 2278.7]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [942.7, 1017.3] @ [2289.9, 2324.1]
